Entry	Entry Name	Organism	Length	Gene Ontology (GO)
P02074	HBB_ODOVI	Odocoileus virginianus virginianus (Virginia white-tailed deer)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02075	HBB_SHEEP	Ovis aries (Sheep)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02077	HBBA_CAPHI	Capra hircus (Goat)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02086	HBB_PROHA	Procavia capensis habessinica (Abyssinian hyrax)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02087	HBB_DASNO	Dasypus novemcinctus (Nine-banded armadillo)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02088	HBB1_MOUSE	Mus musculus (Mouse)	147	extracellular region [GO:0005576]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; myelin sheath [GO:0043209]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin beta binding [GO:0031722]; hemoglobin binding [GO:0030492]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; protein-containing complex binding [GO:0044877]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hemopoiesis [GO:0030097]; oxygen transport [GO:0015671]; regulation of eIF2 alpha phosphorylation by heme [GO:0010999]
P02089	HBB2_MOUSE	Mus musculus (Mouse)	147	extracellular region [GO:0005576]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin beta binding [GO:0031722]; hemoglobin binding [GO:0030492]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; protein-containing complex binding [GO:0044877]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; glutathione metabolic process [GO:0006749]; oxygen transport [GO:0015671]; positive regulation of myeloid cell differentiation [GO:0045639]; regulation of erythrocyte differentiation [GO:0045646]
P02091	HBB1_RAT	Rattus norvegicus (Rat)	147	extracellular region [GO:0005576]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin beta binding [GO:0031722]; hemoglobin binding [GO:0030492]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; protein-containing complex binding [GO:0044877]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; glutathione metabolic process [GO:0006749]; hemopoiesis [GO:0030097]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; regulation of eIF2 alpha phosphorylation by heme [GO:0010999]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542]
P02094	HBB_MESAU	Mesocricetus auratus (Golden hamster)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02109	HBB_DIDVI	Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02110	HBB_TACAC	Tachyglossus aculeatus aculeatus (Southeast Australian short-beaked echidna)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02112	HBB_CHICK	Gallus gallus (Chicken)	147	extracellular region [GO:0005576]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin binding [GO:0030492]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P02114	HBB_ANAPL	Anas platyrhynchos (Mallard) (Anas boschas)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02132	HBB1_XENLA	Xenopus laevis (African clawed frog)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; oxygen transport [GO:0015671]
P02133	HBB2_XENLA	Xenopus laevis (African clawed frog)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; oxygen transport [GO:0015671]
P02139	HBB_CYPCA	Cyprinus carpio (Common carp)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02141	HBB4_ONCMY	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	148	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P04244	HBB_PANPO	Panthera pardus orientalis (Amur leopard) (Felis orientalis)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07410	HBB_UROTO	Urocitellus townsendii (Townsend's ground squirrel) (Spermophilus townsendii)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07412	HBB_FELCA	Felis catus (Cat) (Felis silvestris catus)	146	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P07432	HBB1_XENBO	Xenopus borealis (Kenyan clawed frog)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07433	HBB2_XENBO	Xenopus borealis (Kenyan clawed frog)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P08261	HBB_CHRRI	Chroicocephalus ridibundus (Black-headed gull) (Larus ridibundus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P09905	HBB_PHYMC	Physeter macrocephalus (Sperm whale) (Physeter catodon)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11517	HBB2_RAT	Rattus norvegicus (Rat)	147	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; carbon dioxide transport [GO:0015670]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]; positive regulation of myeloid cell differentiation [GO:0045639]; regulation of erythrocyte differentiation [GO:0045646]
P14526	HBB_BRATR	Bradypus tridactylus (Pale-throated three-toed sloth)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P18983	HBB_AILME	Ailuropoda melanoleuca (Giant panda)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P18984	HBB_BALAC	Balaenoptera acutorostrata (Common minke whale) (Balaena rostrata)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P67821	HBB_SAPAP	Sapajus apella (Brown-capped capuchin) (Cebus apella)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68048	HBB1_PANTS	Panthera tigris sumatrae (Sumatran tiger) (Panthera sumatrae)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68049	HBB1_PANON	Panthera onca (Jaguar) (Felis onca)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68050	HBB1_PANLE	Panthera leo (Lion)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68051	HBB1_PANPS	Panthera pardus saxicolor (Northern Persian leopard)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68056	HBBC_SHEEP	Ovis aries (Sheep)	142	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68064	HBB2_PANON	Panthera onca (Jaguar) (Felis onca)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68087	HBB1_CHAMP	Chalinolobus morio (Chocolate-wattled bat) (Lobe-lipped bat)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68222	HBB_MACFU	Macaca fuscata fuscata (Japanese macaque)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68223	HBB_MACFA	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68224	HBB_MACAR	Macaca arctoides (Stump-tailed macaque) (Macaca speciosa)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68225	HBB_MACNE	Macaca nemestrina (Pig-tailed macaque)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P68871	HBB_HUMAN	Homo sapiens (Human)	147	blood microparticle [GO:0072562]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; tertiary granule lumen [GO:1904724]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin binding [GO:0030492]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; platelet aggregation [GO:0070527]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542]
P68872	HBB_PANPA	Pan paniscus (Pygmy chimpanzee) (Bonobo)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542]
P68873	HBB_PANTR	Pan troglodytes (Chimpanzee)	147	extracellular region [GO:0005576]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542]
P80044	HBB_TREBE	Trematomus bernacchii (Emerald rockcod) (Pseudotrematomus bernacchii)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P84792	HBB_AYTFU	Aythya fuligula (Tufted duck) (Anas fuligula)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]; oxygen transport [GO:0015671]
Q6WN22	HBB_ATEPA	Ateles paniscus (Red-faced black spider monkey) (Simia paniscus)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
Q7M2Y5	HBB2_CHAMP	Chalinolobus morio (Chocolate-wattled bat) (Lobe-lipped bat)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
